allocator_type,benchmark_type,num_allocations,time_ms
system,random_size,500000,71
custom,random_size,500000,65
system,random_size,600000,83
custom,random_size,600000,77
system,random_size,700000,97
custom,random_size,700000,90
system,random_size,800000,111
custom,random_size,800000,103
system,random_size,900000,124
custom,random_size,900000,115
system,random_size,1000000,138
custom,random_size,1000000,129
system,random_size,1100000,152
custom,random_size,1100000,142
system,random_size,1200000,167
custom,random_size,1200000,154
system,random_size,1300000,181
custom,random_size,1300000,167
system,random_size,1400000,194
custom,random_size,1400000,180
system,random_size,1500000,209
custom,random_size,1500000,193
system,random_size,1600000,223
custom,random_size,1600000,206
system,random_size,1700000,242
custom,random_size,1700000,221
system,random_size,1800000,251
custom,random_size,1800000,234
system,random_size,1900000,266
custom,random_size,1900000,244
system,random_size,2000000,279
custom,random_size,2000000,258
system,random_size,2100000,298
custom,random_size,2100000,285
system,random_size,2200000,311
custom,random_size,2200000,285
system,random_size,2300000,322
custom,random_size,2300000,298
system,random_size,2400000,339
custom,random_size,2400000,310
system,random_size,2500000,352
custom,random_size,2500000,323
system,random_size,2600000,366
custom,random_size,2600000,340
system,random_size,2700000,384
custom,random_size,2700000,357
system,random_size,2800000,399
custom,random_size,2800000,370
system,random_size,2900000,434
custom,random_size,2900000,388
system,random_size,3000000,422
custom,random_size,3000000,389
system,random_size,3100000,447
custom,random_size,3100000,407
system,random_size,3200000,466
custom,random_size,3200000,455
system,random_size,3300000,548
custom,random_size,3300000,484
system,random_size,3400000,482
custom,random_size,3400000,445
system,random_size,3500000,507
custom,random_size,3500000,480
system,random_size,3600000,503
custom,random_size,3600000,464
system,random_size,3700000,529
custom,random_size,3700000,504
system,random_size,3800000,539
custom,random_size,3800000,493
system,random_size,3900000,559
custom,random_size,3900000,522
system,random_size,4000000,566
custom,random_size,4000000,519
system,random_size,4100000,583
custom,random_size,4100000,536
system,random_size,4200000,605
custom,random_size,4200000,561
system,random_size,4300000,876
custom,random_size,4300000,796
system,random_size,4400000,667
custom,random_size,4400000,700
system,random_size,4500000,636
custom,random_size,4500000,593
system,random_size,4600000,661
custom,random_size,4600000,635
system,random_size,4700000,992
custom,random_size,4700000,978
system,random_size,4800000,687
custom,random_size,4800000,656
system,random_size,4900000,685
custom,random_size,4900000,628
